Format Version,1.25,Take Name,Take 2026-01-03 06.50.43 PM,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2026-01-03 06.50.47.145 午後,Capture Start Frame,724866,Total Frames in Take,2292,Total Exported Frames,2292,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,EE_pos,EE_pos,EE_pos,EE_pos,EE_pos,EE_pos,EE_pos,EE_pos:Marker 001,EE_pos:Marker 001,EE_pos:Marker 001,EE_pos:Marker 002,EE_pos:Marker 002,EE_pos:Marker 002,EE_pos:Marker 003,EE_pos:Marker 003,EE_pos:Marker 003,EE_pos:Marker 004,EE_pos:Marker 004,EE_pos:Marker 004,EE_position,EE_position,EE_position,EE_position,EE_position,EE_position,EE_position,EE_position:Marker 001,EE_position:Marker 001,EE_position:Marker 001,EE_position:Marker 002,EE_position:Marker 002,EE_position:Marker 002,EE_position:Marker 003,EE_position:Marker 003,EE_position:Marker 003,EE_position:Marker 004,EE_position:Marker 004,EE_position:Marker 004,EE_position:Marker 001,EE_position:Marker 001,EE_position:Marker 001,EE_position:Marker 002,EE_position:Marker 002,EE_position:Marker 002,EE_position:Marker 003,EE_position:Marker 003,EE_position:Marker 003,EE_position:Marker 004,EE_position:Marker 004,EE_position:Marker 004
,ID,3A1909039E9411F0B1859627E9FDEAB,3A1909039E9411F0B1859627E9FDEAB,3A1909039E9411F0B1859627E9FDEAB,3A1909039E9411F0B1859627E9FDEAB,3A1909039E9411F0B1859627E9FDEAB,3A1909039E9411F0B1859627E9FDEAB,3A1909039E9411F0B1859627E9FDEAB,"3A1909039E9411F0:B1859627E9FDEAB","3A1909039E9411F0:B1859627E9FDEAB","3A1909039E9411F0:B1859627E9FDEAB","3A1909039E9411F0:B1859627E9FDEAB","3A1909039E9411F0:B1859627E9FDEAB","3A1909039E9411F0:B1859627E9FDEAB","3A1909039E9411F0:B1859627E9FDEAB","3A1909039E9411F0:B1859627E9FDEAB","3A1909039E9411F0:B1859627E9FDEAB","3A1909039E9411F0:B1859627E9FDEAB","3A1909039E9411F0:B1859627E9FDEAB","3A1909039E9411F0:B1859627E9FDEAB",C97A8663E88211F0C206712CAD80E5AB,C97A8663E88211F0C206712CAD80E5AB,C97A8663E88211F0C206712CAD80E5AB,C97A8663E88211F0C206712CAD80E5AB,C97A8663E88211F0C206712CAD80E5AB,C97A8663E88211F0C206712CAD80E5AB,C97A8663E88211F0C206712CAD80E5AB,"C97A8663E88211F0:C206712CAD80E5AB","C97A8663E88211F0:C206712CAD80E5AB","C97A8663E88211F0:C206712CAD80E5AB","C97A8663E88211F0:C206712CAD80E5AB","C97A8663E88211F0:C206712CAD80E5AB","C97A8663E88211F0:C206712CAD80E5AB","C97A8663E88211F0:C206712CAD80E5AB","C97A8663E88211F0:C206712CAD80E5AB","C97A8663E88211F0:C206712CAD80E5AB","C97A8663E88211F0:C206712CAD80E5AB","C97A8663E88211F0:C206712CAD80E5AB","C97A8663E88211F0:C206712CAD80E5AB","AD235E30E88911F0:C206712CAD80E5AB","AD235E30E88911F0:C206712CAD80E5AB","AD235E30E88911F0:C206712CAD80E5AB","AD235E31E88911F0:C206712CAD80E5AB","AD235E31E88911F0:C206712CAD80E5AB","AD235E31E88911F0:C206712CAD80E5AB","AD235E32E88911F0:C206712CAD80E5AB","AD235E32E88911F0:C206712CAD80E5AB","AD235E32E88911F0:C206712CAD80E5AB","AD235E33E88911F0:C206712CAD80E5AB","AD235E33E88911F0:C206712CAD80E5AB","AD235E33E88911F0:C206712CAD80E5AB"
,Parent,,,,,,,,EE_pos,EE_pos,EE_pos,EE_pos,EE_pos,EE_pos,EE_pos,EE_pos,EE_pos,EE_pos,EE_pos,EE_pos,,,,,,,,EE_position,EE_position,EE_position,EE_position,EE_position,EE_position,EE_position,EE_position,EE_position,EE_position,EE_position,EE_position,,,,,,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-9.348230,1.096900,-18.555401,14.464700,-0.033753,-11.886400,-11.742100,-0.218264,12.618100,6.626090,-0.847829,17.823599,0.001430,0.344156,-0.001003,0.938911,476.716003,73.112404,563.485474,490.851746,76.308266,545.216003,485.794891,68.757965,585.548584,469.347809,77.219223,542.818176,460.869598,70.164185,580.359131,490.854126,76.318146,545.222839,485.745026,68.754570,585.519043,469.350708,77.205826,542.826050,460.913757,70.171127,580.373291
1,0.010000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-9.348230,1.096900,-18.555401,14.464700,-0.033753,-11.886400,-11.742100,-0.218264,12.618100,6.626090,-0.847829,17.823599,0.001439,0.344172,-0.001049,0.938905,476.717102,73.107277,563.490051,490.852539,76.301575,545.220093,485.796387,68.752312,585.552917,469.348572,77.214485,542.822998,460.871033,70.160751,580.364258,490.854279,76.308365,545.227112,485.749542,68.751076,585.525818,469.350830,77.204460,542.830200,460.913452,70.165291,580.376526
2,0.020000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-9.348230,1.096900,-18.555401,14.464700,-0.033753,-11.886400,-11.742100,-0.218264,12.618100,6.626090,-0.847829,17.823599,0.001411,0.344216,-0.000934,0.938889,476.721069,73.111496,563.488403,490.854065,76.309608,545.217285,485.803406,68.758064,585.550293,469.349640,77.217537,542.822205,460.877228,70.160789,580.364075,490.856293,76.316444,545.225342,485.757141,68.757156,585.520874,469.351654,77.206825,542.831604,460.918701,70.165665,580.375183
3,0.030000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-9.348230,1.096900,-18.555401,14.464700,-0.033753,-11.886400,-11.742100,-0.218264,12.618100,6.626090,-0.847829,17.823599,0.001455,0.344140,-0.000986,0.938917,476.720306,73.112015,563.490601,490.856659,76.309120,545.221863,485.798523,68.756432,585.553833,469.352753,77.219917,542.823364,460.873352,70.162590,580.363586,490.858429,76.316666,545.227539,485.746674,68.755455,585.523254,469.356964,77.208839,542.833069,460.918518,70.167145,580.377869
4,0.040000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,-9.348230,1.096900,-18.555401,14.464700,-0.033753,-11.886400,-11.742100,-0.218264,12.618100,6.626090,-0.847829,17.823599,0.001423,0.344252,-0.000974,0.938876,476.722198,73.110558,563.489685,490.854065,76.307388,545.217407,485.805878,68.756485,585.550903,469.349548,77.217102,542.823975,460.879456,70.161270,580.366577,490.860016,76.314995,545.223328,485.755188,68.755058,585.521973,469.349213,77.206367,542.831360,460.923920,70.165894,580.381409
